;Age;Gender;Education Level;Job Title;Years of Experience;Salary_usd;Country;Race;Graduated high-school type;Hours-per-week;Avarege Salary per-year_usd;Employment type 
0;32.0;Male;Bachelor's;Software Engineer;5.0;90000.0;UK;White;Private; 42.5;116.666;FT
1;28.0;Female;Master's;Data Analyst;3.0;65000.0;USA;Hispanic;Other; 42.5;76.728;FT
2;45.0;Male;PhD;Senior Manager;15.0;150000.0;Canada;White;Other; 47.5;136.532;FT
3;36.0;Female;Bachelor's;Sales Associate;7.0;60000.0;USA;Hispanic;State; 42.5;58.151;FT
4;52.0;Male;Master's;Director;20.0;200000.0;USA;Asian;Private;50;102.249;FT
5;29.0;Male;Bachelor's;Marketing Analyst;2.0;55000.0;USA;Hispanic;Private; 42.5;67.629;FT
6;42.0;Female;Master's;Product Manager;12.0;120000.0;USA;Asian;State; 47.5;114.787;FT
7;31.0;Male;Bachelor's;Sales Manager;4.0;80000.0;China;Korean;State; 47.5;85.032;FT
8;26.0;Female;Bachelor's;Marketing Coordinator;1.0;45000.0;China;Chinese;State; 42.5;51.079;FT
9;38.0;Male;PhD;Senior Scientist;10.0;110000.0;Australia;Australian;Other;45;113.391;FT
10;29.0;Male;Master's;Software Developer;3.0;75000.0;UK;Welsh;State; 42.5;116.666;FT
11;48.0;Female;Bachelor's;HR Manager;18.0;140000.0;UK;Asian;Private;45;80.904;FT
12;35.0;Male;Bachelor's;Financial Analyst;6.0;65000.0;China;Korean;Private; 42.5;75.311;FT
13;40.0;Female;Master's;Project Manager;14.0;130000.0;USA;African American;Private; 47.5;87.288;FT
14;27.0;Male;Bachelor's;Customer Service Rep;2.0;40000.0;Canada;Asian;State; 42.5;61.112;FT
15;44.0;Male;Bachelor's;Operations Manager;16.0;125000.0;China;Chinese;State; 47.5;72.646;FT
16;33.0;Female;Master's;Marketing Manager;7.0;90000.0;USA;Asian;State; 47.5;75.24;FT
17;39.0;Male;PhD;Senior Engineer;12.0;115000.0;UK;Mixed;State; 42.5;140.94;FT
18;25.0;Female;Bachelor's;Data Entry Clerk;0.0;35000.0;UK;Asian;State; 37.5;39.092;FT
19;51.0;Male;Bachelor's;Sales Director;22.0;180000.0;Australia;Asian;State;50;102.249;FT
20;34.0;Female;Master's;Business Analyst;5.0;80000.0;China;Korean;Private; 42.5;85.363;FT
21;47.0;Male;Master's;VP of Operations;19.0;190000.0;UK;White;State;55;148.425;FT
22;30.0;Male;Bachelor's;IT Support;2.0;50000.0;UK;Asian;State; 42.5;50.494;FT
23;36.0;Female;Bachelor's;Recruiter;9.0;60000.0;China;White;State; 42.5;55.299;FT
24;41.0;Male;Master's;Financial Manager;13.0;140000.0;USA;African American;State; 47.5;107.005;FT
25;28.0;Female;Bachelor's;Social Media Specialist;3.0;45000.0;Canada;White;State; 42.5;49.349;FL
26;37.0;Female;Master's;Software Manager;11.0;110000.0;Australia;Asian;State; 47.5;159.959;FT
27;24.0;Male;Bachelor's;Junior Developer;1.0;40000.0;Australia;Asian;State; 42.5;67.691;FT
28;43.0;Female;PhD;Senior Consultant;15.0;140000.0;Canada;Black;Private;50;111.498;CT
29;33.0;Male;Master's;Product Designer;6.0;90000.0;China;Korean;State; 42.5;120.644;FT
30;50.0;Male;Bachelor's;CEO;25.0;250000.0;Canada;Asian;Other; Varies significantly;189.843;FT
31;31.0;Female;Bachelor's;Accountant;4.0;55000.0;UK;White;State; 42.5;62.045;FT
32;29.0;Male;Master's;Data Scientist;3.0;75000.0;USA;Hispanic;State; 42.5;124.927;FT
33;39.0;Female;Bachelor's;Marketing Specialist;10.0;65000.0;Canada;White;State; 42.5;58.622;FT
34;46.0;Male;PhD;Senior Manager;20.0;170000.0;USA;Hispanic;State; 47.5;136.532;FT
35;27.0;Male;Bachelor's;Technical Writer;2.0;45000.0;Australia;Asian;Private; 42.5;63.43;FT
36;35.0;Female;Bachelor's;HR Generalist;7.0;60000.0;UK;White;Private; 42.5;62.74;FT
37;42.0;Male;Master's;Project Engineer;14.0;115000.0;China;White;Other; 47.5;100.561;FT
38;26.0;Female;Bachelor's;Customer Success Rep;1.0;40000.0;Canada;Asian;State; 42.5;61.112;FT
39;49.0;Male;Bachelor's;Sales Executive;21.0;160000.0;China;White;State; 47.5;88.829;FT
40;34.0;Female;Master's;UX Designer;5.0;80000.0;UK;Asian;State; 42.5;72.021;FT
41;48.0;Male;Master's;Operations Director;18.0;190000.0;Canada;Black;Private; 52.5;102.249;FT
42;30.0;Male;Bachelor's;Network Engineer;3.0;60000.0;China;Korean;State; 42.5;100.561;FT
43;36.0;Female;Bachelor's;Administrative Assistant;8.0;45000.0;UK;Asian;State; 42.5;35.538;FT
44;41.0;Male;Master's;Strategy Consultant;13.0;130000.0;UK;Asian;State;50;88.855;FT
45;28.0;Female;Bachelor's;Copywriter;2.0;40000.0;USA;White;Other; 42.5;63.43;PT
46;32.0;Male;Bachelor's;Account Manager;5.0;75000.0;Australia;Asian;State; 42.5;66.741;FT
